source_row,tweet,tweet_label,_label_norm,keyword,subjects,subjects_scored,stance,stance_reason 
65192,"5th Aug 2019 - After 70 years wait #Art370 ended

5th Aug 2020 - After 492 years of struggle and sacrifice #RamMandir will be built

Sanatanis must roar forward to greatness once again

I would like to pray for #HindusUnite 🕉

#JaiShreeRam 🙏🏼

https://t.co/rewEbdkmY8",Pro Ruling,pro ruling,ram mandir,"['hindus', 'pray', '2020']","[{'text': 'hindus', 'score': 0.5158}, {'text': 'pray', 'score': 0.4661}, {'text': '2020', 'score': 0.2444}]",For ,expresses pride in ram mandir.
1029484,"If you believe that Ram Mandir judgement is influenced by Modi Government, not independently judged by the Supreme Court of India.

Trust me, this danger in our democracy is much bigger trouble than delays in Ram Mandir construction.",Pro OPP,pro opposition,ram mandir,"['india', 'judgement', 'delays']","[{'text': 'india', 'score': 0.3668}, {'text': 'judgement', 'score': 0.363}, {'text': 'delays', 'score': 0.1751}]",Against,subtly shows how democracy is failing. 
169142,"If Ram Mandir becomes a ‘monument of hate’ and must be abandoned due to violence over it then when are they abandoning Kashi, Mathura, Qutub Minar and countless other mosques in India? Or is this liberal/Islamist logic applicable only to the Hindu places of worship?",Pro Ruling,pro ruling,ram mandir,"['hindu', 'hate', 'qutub']","[{'text': 'hindu', 'score': 0.5886}, {'text': 'hate', 'score': 0.1909}, {'text': 'qutub', 'score': -0.0315}]",For ,shows how there is hypocricy faced by hindu faith and monuments. 
26017,"Sabka saath Sabka Vishwas folks standing in long Ques with their Papers to vote against @narendramodi
Will Hindus come out &amp; stand for one PM who gave them Ram Mandir, abolished 370 &amp; brought CAA?
If they can vote for their religion what stop you o hindus?
Come out and vote! https://t.co/cARVB2UXXG",Pro Ruling,pro ruling,ram mandir,"['hindus', 'vote', 'abolished']","[{'text': 'hindus', 'score': 0.6313}, {'text': 'vote', 'score': 0.3326}, {'text': 'abolished', 'score': 0.1983}]",For ,shows how much modi did for the nation. 
2683737,"Autowala On Fire 🔥 

I am standing with Modi ji and Amit Bhai who abbrogated article 370 from Kashmir and are building Ram Mandir. 

Uddhav Thackeray is with Mehbooba Mufti who want article 370 back in Kashmir. 

Showing Mirror 🪞to Rashmi Thackeray and family in ShindeShai way. https://t.co/EiRMhLIhzY",Pro Ruling,pro ruling,ram mandir,"['kashmir', 'thackeray', 'mirror']","[{'text': 'kashmir', 'score': 0.6362}, {'text': 'thackeray', 'score': 0.2384}, {'text': 'mirror', 'score': 0.1068}]",For ,praises modi and ram mandir. 
181936,"""Congress has always believed in dialogue. It is the BJP that has always been inconsistency in their stand on #Ayodhya"": @Pawankhera, Congress 

Watch here: https://t.co/vwOgujWd0p

#AyodhyaBhoomipoojan #AyodhyaRamMandir  #Ayodhya

(P.S.- The video is from last night's show) https://t.co/RXKv84mMyB",Pro OPP,pro opposition,ram mandir,"['ayodhya', 'congress', 'inconsistency']","[{'text': 'ayodhya', 'score': 0.553}, {'text': 'congress', 'score': 0.4573}, {'text': 'inconsistency', 'score': 0.2976}]",Neutral ,no stance taken on ram mandir. 
809070,"The #AbbaJaan remark by  Adityanath ji proves BJP is desperate in UP. As their desperation grows the next planted story will be on Ram Mandir. On a more desperate note- a Pakistan &amp; Kashmir angle will emerge, then Dawood &amp; finally a plot to harm Adityanath ji or PM! 
#अब्बाजान",Pro OPP,pro opposition,ram mandir,"['kashmir', 'desperation', 'angle']","[{'text': 'kashmir', 'score': 0.5342}, {'text': 'desperation', 'score': 0.4047}, {'text': 'angle', 'score': 0.1719}]",Against ,shows how ram mandir is a desperate act by bjp to get votes. 
732566,"Hi @INCMP: 

It is incredibly shocking &amp; disappointing to know that Bhopal South West MLA P. C. Sharma of Congress is going around soliciting donations for Ram Mandir construction.

The state PCC high command MUST intervene &amp; stop this farce immediately. 

https://t.co/AGCFkxOpLH",Pro OPP,pro opposition,ram mandir,"['ram', 'congress', 'donations']","[{'text': 'ram', 'score': 0.4074}, {'text': 'congress', 'score': 0.3874}, {'text': 'donations', 'score': 0.3166}]",Against ,expresses dissapointment in MLA soliciting donations for ram mandir. 
303196,"Late Shri Rajiv Gandhi had already made Congress's stand clear on Babri Masjid &amp; Ram Mandir dispute (1989) 
But BJP along with its associate organizations politicised it for polarization &amp; creating communal rift.
Every concerned citizen must listen to this once. https://t.co/PsiLZ3winE",Pro OPP,pro opposition,ram mandir,"['congress', 'masjid', 'polarization']","[{'text': 'congress', 'score': 0.4426}, {'text': 'masjid', 'score': 0.3597}, {'text': 'polarization', 'score': 0.1963}]",Against ,blames bjp for polarisation and politicisation. 
956975,"Indian GDP - ‘Shav Aasan’
Petrol Price - ‘Sheersh Aasan’
Ram Mandir - ‘Chandaasan’",Pro OPP,pro opposition,ram mandir,"['price', 'indian', 'petrol']","[{'text': 'price', 'score': 0.4516}, {'text': 'indian', 'score': 0.4217}, {'text': 'petrol', 'score': 0.4179}]",Against ,mocks ram mandir. 
979724,"#चंदा_चोर_भाजपा
India must learn a valuable lesson after #7YearsOfLoot: 

Every scheme, every policy grandly announced by Sanghis &amp; hyped by lapdog media, is a trick to loot Indians &amp; enrich the corrupt Sangh Parivar
#ChowkidarChorHai 
#RamMandirScam
#7yearsOfModiMadeDisaster https://t.co/t6rQEp5N9I",Pro OPP,pro opposition,ram mandir,"['india', 'corrupt', 'lapdog']","[{'text': 'india', 'score': 0.5865}, {'text': 'corrupt', 'score': 0.3937}, {'text': 'lapdog', 'score': 0.1254}]",Against ,calls ram mandir a scam. 
286323,"Nations weaken not because of their past but, rather, by how they are taught it.

My views on @TimesNow with @RShivshankar, on the discovery of Hindu idols at the Ram Janambhoomi site and the shameful perfidy of the Left. #RamMandirExisted https://t.co/e3fvBwIOr7",Pro Ruling,pro ruling,ram mandir,"['hindu', 'weaken', 'timesnow']","[{'text': 'hindu', 'score': 0.5084}, {'text': 'weaken', 'score': 0.3448}, {'text': 'timesnow', 'score': 0.2105}]",For ,supports ram mandir and says history should teach how it did exist. 
2005047,"“In the land of Ram Bhakts, Congress which doesn't believe either in existence of Ram or grand Ram Mandir, brought out Ravan from Ramayan to abuse Modi” https://t.co/FpKn5vVzYt",Pro Ruling,pro ruling,ram mandir,"['ram', 'congress', 'believe']","[{'text': 'ram', 'score': 0.5001}, {'text': 'congress', 'score': 0.3706}, {'text': 'believe', 'score': 0.2488}]",For ,Shows how congress hates Ram and Ram mandir. 
57596,"Two front page reports in today's Indian Express highlight the India of today: The PM cannot get China to vacate Indian territory it has occupied... but will instead stage a spectacle to ""liberate"" Ram Mandir from Muslim control.

https://t.co/bzMuLPTqGn

https://t.co/s9J1oMUFGD",Pro OPP,pro opposition,ram mandir,"['china', 'india', 'cannot']","[{'text': 'china', 'score': 0.5743}, {'text': 'india', 'score': 0.5004}, {'text': 'cannot', 'score': 0.2115}]",Against ,shows how ram mandir is nothing but spectacle. 
907704,Sri #KalyanSingh ji on #RamMandir - What an unapologetic Hindu 🙏 https://t.co/ZNhQd3OzAU,Pro Ruling,pro ruling,ram mandir,"['hindu', 'ram', 'unapologetic']","[{'text': 'hindu', 'score': 0.8005}, {'text': 'ram', 'score': 0.5218}, {'text': 'unapologetic', 'score': 0.3511}]",For ,suggests pride in ram mandir. 
1572243,"Yeah yeah that’s the most important predicament facing India today @AdvaitaKala Shame that you prioritise the #RamMandir when millions starve, are jobless, to say nothing of the economic devastation &amp; shattered social fabric the @BJP4India triumvirate of evil propagate  daily 😡 https://t.co/zNpgQvtvha",Pro OPP,pro opposition,ram mandir,"['india', 'shame', 'jobless']","[{'text': 'india', 'score': 0.5711}, {'text': 'shame', 'score': 0.3872}, {'text': 'jobless', 'score': 0.1394}]",Against ,calls ram mandir a scam. 
2560315,"That's the reason ED is after the Gandhis, barricades outside Congress HQ, black magic, India Today survey, Draupadi Murmu, Amit Shah's Ram mandir statement, BJP making a hero out of Kejriwal who is nothing in Gujarat right now. Congress might just win Gujarat.",Pro OPP,pro opposition,ram mandir,"['gujarat', 'congress', 'hero']","[{'text': 'gujarat', 'score': 0.4775}, {'text': 'congress', 'score': 0.4368}, {'text': 'hero', 'score': 0.1892}]",Against,suggests the dirty politics of bjp which includes ram mandir. 
1090226,"TMC MLA Siddiqullah says:

* Cows are slaughtered in Bengal since 1000-1200 years
* No one can stop cow slaughter

Mr Siddiqullah, many people like you said

* Hindus can't build Ram Mandir
* Modi can't scrap Article 370

But the world saw what happened later",Pro Ruling,pro ruling,ram mandir,"['hindus', 'cows', 'slaughtered']","[{'text': 'hindus', 'score': 0.5231}, {'text': 'cows', 'score': 0.5016}, {'text': 'slaughtered', 'score': 0.4789}]",For ,expresses pride in ram mandir.
73379,"I’m 100% confident that in the upcoming Unlock 3.0 guidelines on 31st July, Home Ministry will announce exemptions for religious gatherings. 

If they don’t, the Ram Mandir event in Ayodhya is against the law. 

If they do exempt in the middle of a pandemic, it’ll be challenged.",Pro OPP,pro opposition,ram mandir,"['religious', 'exempt', 'pandemic']","[{'text': 'religious', 'score': 0.468}, {'text': 'exempt', 'score': 0.461}, {'text': 'pandemic', 'score': 0.1869}]",Against ,shows how ram mandir event is against the law but predicts that Home Ministry will exempt it. 
2154045,"At first Congress said, ""build Ram Mandir if you have guts""

It was done 

Then they said ""scrap Article 370 if you have guts""

It was done too

Later they said ""ban PFI if you have guts""

Now this has been done too

Dear Congress NEXT TASK please?",Pro Ruling,pro ruling,ram mandir,"['congress', 'scrap', 'pfi']","[{'text': 'congress', 'score': 0.5384}, {'text': 'scrap', 'score': 0.2081}, {'text': 'pfi', 'score': 0.1446}]",For ,shows how modi does not back down from a challenge. 
28091,"Rafale and Ram Mandir will cover all the main problems Corona , Economy, China ! 

You’re greatest PR Minister Modi Ji !",Pro OPP,pro opposition,ram mandir,"['china', 'corona', 'problems']","[{'text': 'china', 'score': 0.4846}, {'text': 'corona', 'score': 0.2672}, {'text': 'problems', 'score': 0.2364}]",Against ,mocks modi and ram mandir. 
45090,"Bahut zyada pay kiya @RSSorg ne - 
1) @narendramodi jaise PM 2) Braashtachar mukt kendr sarkar 
3) dynasty mukt amethi 4) Pak pe surgical strike aur Balakote strike 
5) 370 gayab 6) Ram Mandir ka rasta clear - yeh sab RSS ke ek pracharak aur pradhan mantri ne pay kiya mujhe https://t.co/6fR1zoCo6w",Pro Ruling,pro ruling,ram mandir,"['narendramodi', 'pay', '370']","[{'text': 'narendramodi', 'score': 0.557}, {'text': 'pay', 'score': 0.262}, {'text': '370', 'score': 0.2222}]",For ,shows how RSS did a lot of good investment for country. 
574685,"“Like the decisions on Ram Mandir and Article 370, Prime Minister Narendra Modi has decided when there would be war with Pakistan and China,” BJP’s UP chief Swatantra Dev Singh is heard saying in a video clip. https://t.co/u3iCgp9EzE",Pro OPP,pro opposition,ram mandir,"['war', 'china', 'pakistan']","[{'text': 'war', 'score': 0.4202}, {'text': 'china', 'score': 0.406}, {'text': 'pakistan', 'score': 0.342}]",Against ,shows how everything is manufactured and dictated by modi.
192679,"Make your temples @BJP4India and keep demanding your masjids @asadowaisi ! But for humanity’s sake, help make the #COVID19 vaccine free ! #freethevaccine @SerumInstIndia @adarpoonawalla @kiranshaw. Great initiative, Tushar! @Yunus_Centre 
#Babri #Ayodhya #RamMandir https://t.co/xzOf4mcjjl",Pro OPP,pro opposition,ram mandir,"['vaccine', 'temples', 'free']","[{'text': 'vaccine', 'score': 0.5532}, {'text': 'temples', 'score': 0.3789}, {'text': 'free', 'score': 0.1606}]",Against ,shows how public health during a pandemic is being neglected for ram mandir. 
81117,Can Congress' new Ram Mandir frenzy be called Unlock 2.0?,Pro OPP,pro opposition,ram mandir,"['ram', 'congress', 'unlock']","[{'text': 'ram', 'score': 0.4838}, {'text': 'congress', 'score': 0.4264}, {'text': 'unlock', 'score': 0.3764}]",For ,subtly suggests that congress is overdoing it. 
2846591,"Till how long India will be tolerating such acts? 
This is Shri Ram Mandir, Canada. https://t.co/CThantLDeb",Pro Ruling,pro ruling,ram mandir,"['india', 'tolerating', 'canada']","[{'text': 'india', 'score': 0.6021}, {'text': 'tolerating', 'score': 0.3552}, {'text': 'canada', 'score': 0.2839}]",For ,shows that india should not be tolerant especially when it comes to something as big and important as shri ram's temple. 
613475,"Close aide of Rahul Gandhi, Saket Gokhale has gone to Supreme Court to stop Ram Janam Bhoomi Shilanyas. #CongressAgainstRamMandir https://t.co/juFIHYMm3T",Pro Ruling,pro ruling,ram mandir,"['gokhale', 'court', 'congress']","[{'text': 'gokhale', 'score': 0.5819}, {'text': 'court', 'score': 0.2892}, {'text': 'congress', 'score': 0.236}]",Neutral ,"no stance taken, only news delivered "
1271415,Senior BJP Ledear &amp; Former UP CM #KalyanSingh Passed Away. Hindus Will Remain Indebted To Him Towards His Contribution For Ram Mandir For Which He Sacrifices His Chair. https://t.co/dVZQdo8kJe,Pro Ruling,pro ruling,ram mandir,"['hindus', 'indebted', 'chair']","[{'text': 'hindus', 'score': 0.5967}, {'text': 'indebted', 'score': 0.3433}, {'text': 'chair', 'score': 0.1303}]",For ,shows how much hindus value ram mandir. 
417320,"Throughout these years, there have been several leaders in the opposition who have been quite vocal in displaying their contempt against the #RamMandir. Let's take a look:

#CongressAgainstRamMandir #CongressMuktBharat https://t.co/suZvJZvMmC",Pro Ruling,pro ruling,ram mandir,"['opposition', 'congress', 'ram']","[{'text': 'opposition', 'score': 0.4709}, {'text': 'congress', 'score': 0.3945}, {'text': 'ram', 'score': 0.3452}]",For ,hashtag suggests how india would do better if congress didn’t exist. 
381949,"Congress was Nvr or is against building any Mandir or Masjid!

@INCIndia condemned demolishing Masjid to build Ram Mandir. 

As per SC verdict both Masjid &amp; Mandir allocated places.

BJP don’t have patent for Ram, Ram sabka hai Sab ne hai! 

We’ll support both Mandir &amp; Mashid !",Pro OPP,pro opposition,ram mandir,"['masjid', 'congress', 'demolishing']","[{'text': 'masjid', 'score': 0.4064}, {'text': 'congress', 'score': 0.3625}, {'text': 'demolishing', 'score': 0.2629}]",For ,shows that both mandir and masjid can coexist. 
353160,"Senior party leader #JitinPrasada (@JitinPrasada) said that ""The #Congress party has already welcomed the construction of the #RamTemple. It is a matter of faith for every Hindu and also personally for me. I am happy that the #RamMandir is being constructed.""

#RamMandirAyodhya https://t.co/7Jwv9jsVQ4",Pro OPP,pro opposition,ram mandir,"['hindu', 'congress', 'senior']","[{'text': 'hindu', 'score': 0.5685}, {'text': 'congress', 'score': 0.3574}, {'text': 'senior', 'score': 0.1714}]",For ,expresses pride in ram mandir.
127770,"Ma Durga is the basis of Bharat Mata and Bhavani Bharati, the inspiration of India's Independence Movement. As the Ram Mandir is being built, we should remember Ma Durga as the supreme Shakti behind all dharmic transformations.",Pro Ruling,pro ruling,ram mandir,"['india', 'independence', 'remember']","[{'text': 'india', 'score': 0.5127}, {'text': 'independence', 'score': 0.1918}, {'text': 'remember', 'score': 0.1675}]",For ,expresses pride in ram mandir.
1381555,"Is this true @ArvindKejriwal is building ₹100 crore worth Haj House? 

While he advocated for School and Hospital in place of Ram Mandir. 

Let’s protest against Lavnasur and force him to make Hospital in place of Haj House. 😡😡

#HospitalNotHajHouse",Pro Ruling,pro ruling,ram mandir,"['house', 'worth', 'protest']","[{'text': 'house', 'score': 0.3878}, {'text': 'worth', 'score': 0.2316}, {'text': 'protest', 'score': 0.1794}]",For ,shows kejriwal's dirty politics. 
322664,"PM @narendramodi performs #BhoomiPoojan along with UP Governor Anandiben Patel, RSS Chief Mohan Bhagwat for Ram Temple at #Ayodhya
#RamMandir #AyodhyaBhoomipoojan https://t.co/MTOFxUbEKP",Pro Ruling,pro ruling,ram mandir,"['narendramodi', 'performs', 'governor']","[{'text': 'narendramodi', 'score': 0.5947}, {'text': 'performs', 'score': 0.4334}, {'text': 'governor', 'score': 0.2247}]",Neutral ,"no stance taken, only news delivered "
2762969,"5th Aug 2023 !!

Uniform Civil Code India loading....

Each passing day is hinting towards it. PM @narendramodi today mentioned it in Bhopal event.

Article 370, Ram Mandir and now UCC; Home Minister @AmitShah will complete his term as HM in  Style.",Pro Ruling,pro ruling,ram mandir,"['india', 'code', 'uniform']","[{'text': 'india', 'score': 0.51}, {'text': 'code', 'score': 0.3552}, {'text': 'uniform', 'score': 0.3459}]",For ,expresses pride in ram mandir.
257596,"With #COVID19 raging through the @BJP4India rank &amp; file, it’s no shining moment for @PMOIndia @HMOIndia as they seek celestial glory through #RamMandir but then they’re all about optics 🙄 https://t.co/tEQnsyV6v2",Pro OPP,pro opposition,ram mandir,"['bjp4india', 'optics', 'raging']","[{'text': 'bjp4india', 'score': 0.494}, {'text': 'optics', 'score': 0.4723}, {'text': 'raging', 'score': 0.254}]",Against ,shows how public health during a pandemic is being neglected for ram mandir. 
441046,"Ram Mandir in Ayodhya will represent India as strong, peaceful, inclusive, says Shri LK Advani: https://t.co/nDOglnDa4e",Pro Ruling,pro ruling,ram mandir,"['ayodhya', 'india', 'represent']","[{'text': 'ayodhya', 'score': 0.6052}, {'text': 'india', 'score': 0.5021}, {'text': 'represent', 'score': 0.2469}]",For ,expresses pride in ram mandir.
1703227,"Karnataka PFI leader warns Muslims against donating to Ram Mandir, case registered for hate speech: Read what he said

https://t.co/iPCJWdf2cr",Pro Ruling,pro ruling,ram mandir,"['muslims', 'warns', 'donating']","[{'text': 'muslims', 'score': 0.571}, {'text': 'warns', 'score': 0.2683}, {'text': 'donating', 'score': 0.2238}]",Neutral ,"no stance taken, only news delivered "
1926840,"For Modi Bhakts,  Judge JB Pardiwala 's statement on Nupur Sharma is not acceptable because he is the son of a former Congress MLA.

Modi Bhakts forgot that CJI Ranjan Gogoi who gave Ram Mandir verdict is the son of Ex Congress CM Keshab Chandra Gogoi

#NupurSharma
#JBPardiwala https://t.co/onUcvfkQ85",Pro OPP,pro opposition,ram mandir,"['mandir', 'judge', 'congress']","[{'text': 'mandir', 'score': 0.4265}, {'text': 'judge', 'score': 0.3993}, {'text': 'congress', 'score': 0.322}]",Neutral ,no stance taken on ram mandir. 
659465,"Why religion is important?

I see someone who are supposedly atheist taking potshots at Hinduism, Ram Mandir etc. They don't realize that Hinduism plays a big role in giving them the freedom to abuse it without a violent repercussion. And institutions such as the Ram Mandir are+",Pro Ruling,pro ruling,ram mandir,"['hinduism', 'atheist', 'repercussion']","[{'text': 'hinduism', 'score': 0.4587}, {'text': 'atheist', 'score': 0.3521}, {'text': 'repercussion', 'score': 0.1423}]",For ,expresses pride in ram mandir.
2843153,"Dynasty slaves who are asking why is @narendramodi launching and taking credit for #VandeBharatExpress #NewParliament #RamMandir and a whole lot of other completed projects should ask themselves, why didn’t @INCIndia do any of this in the 10 years they were in power between… https://t.co/LCLfnyE5aD",Pro Ruling,pro ruling,ram mandir,"['narendramodi', 'slaves', 'credit']","[{'text': 'narendramodi', 'score': 0.4626}, {'text': 'slaves', 'score': 0.3001}, {'text': 'credit', 'score': 0.1617}]",For ,"calls critics of ram mandir and modi ""dynasty slaves"". "
176582,"When ""M"" population touches 40% in any constituency, it becomes impossible for BJP to win it

But liberals never utter a word against it

When bunch of Hindus say that they will vote for BJP bcoz of Ram Mandir, CAA

Liberals will bark 
“Hindus are communal""

Undeniable truth!",Pro Ruling,pro ruling,ram mandir,"['hindus', 'liberals', 'undeniable']","[{'text': 'hindus', 'score': 0.5336}, {'text': 'liberals', 'score': 0.3871}, {'text': 'undeniable', 'score': 0.1559}]",For ,shows hypocricy against Hindus. 
2216196,"Diwali par woh ek pooja ki pic laga dein aap khush ho jaate ho. That's photo-op. 

But Ram Mandir Jab Jihadi Babar ki encroachment se reclaim hota hai. Sab chup rahte hain. 

Their silence on #TheKashmirFiles, #RamMandir is their ideology. Rest is optics!",Pro Ruling,pro ruling,ram mandir,"['kashmir', 'silence', 'optics']","[{'text': 'kashmir', 'score': 0.5928}, {'text': 'silence', 'score': 0.217}, {'text': 'optics', 'score': 0.2023}]",For ,expresses pride in ram mandir.
758678,"Coward BJP gave the below to India in last 7 years. 
- Surgical Strike 
- Air Strike
- 370 
- Triple Tallaq 
- CAA
- China was shown it's place
- Ram Mandir 
- Toilets
- Housing
- Infra 
- Rafale
- Border Roads 
- Armed Forces empowered 
- 40crore Bank Accounts.
Etc, Etc, Etc",Pro Ruling,pro ruling,ram mandir,"['india', 'strike', 'coward']","[{'text': 'india', 'score': 0.6401}, {'text': 'strike', 'score': 0.3767}, {'text': 'coward', 'score': 0.2878}]",For ,subtly shows how modi delivered so much to india. 
140881,"Folks, please forget rising Covid cases, China ‘transgressions’, falling growth rates, job crisis, rising inflation, floods and monsoon mayhem, even Ram Mandir: Rhea Chakraborty is appearing before Enforcement Directorate. All izz well! 🙏",Pro OPP,pro opposition,ram mandir,"['china', 'transgressions', 'inflation']","[{'text': 'china', 'score': 0.4045}, {'text': 'transgressions', 'score': 0.3146}, {'text': 'inflation', 'score': 0.2876}]",Neutral ,no stance taken on ram mandir. 
380637,India needs a Ram Mandir 200 feet taller than the previous design! https://t.co/P8pna2lKTF,Pro OPP,pro opposition,ram mandir,"['ram', 'taller', 'india']","[{'text': 'ram', 'score': 0.4377}, {'text': 'taller', 'score': 0.4063}, {'text': 'india', 'score': 0.3856}]",Against ,critiques the optics and politics of ram mandir. 
1849851,"Tika Lal Taploo: One of the first murders before the genocide Kashmiri Hindus in 1990, killed for sending bricks and funds for construction of Ram Mandir

https://t.co/ej6z2SReIF",Pro Ruling,pro ruling,ram mandir,"['hindus', 'killed', 'taploo']","[{'text': 'hindus', 'score': 0.5886}, {'text': 'killed', 'score': 0.4432}, {'text': 'taploo', 'score': 0.2476}]",For ,shows how hindus received hate and death for supporting ram mandir. 
649548,"You voted for 
- Hindu Rashtra
- Ram Mandir
- NRC
- 370 abrogation 
- Muslim hate
- Unrealistic dreamy promises 
- Fake Nationalism 

Govt has done or is doing all above, isn't it unfair to demand :- 
- Hospitals
- Governance
- Employment
- Prosperity
- Happiness
- Accountability",Pro OPP,pro opposition,ram mandir,"['voted', 'muslim', 'unrealistic']","[{'text': 'voted', 'score': 0.5246}, {'text': 'muslim', 'score': 0.378}, {'text': 'unrealistic', 'score': 0.2129}]",Against ,mocks modi and ram mandir. 
779522,"Nirmohi Akhara, a party in the Ram Mandir dispute, has accused the Vishva Hindu Parishad (VHP) of embezzling Rs 1,400 crore in the name of the Ayodhya temple.

So they are not even sparing Lord Ram , pathetic!!

#RamMandirScam",Pro OPP,pro opposition,ram mandir,"['hindu', 'embezzling', '400']","[{'text': 'hindu', 'score': 0.5176}, {'text': 'embezzling', 'score': 0.3662}, {'text': '400', 'score': 0.1421}]",Against ,calls ram mandir a scam. 
2619560,"Happy 42 @BJP4India !

Thank You For Vajpayee Ji &amp; Modi Ji.

Thank You For Pokhran; Abrogation Of Article 370 From Jammu and Kashmir &amp; Prabhu Shree Ram Mandir. 

🙏🇮🇳 https://t.co/CtcrOyJvpM",Pro Ruling,pro ruling,ram mandir,"['bjp4india', 'kashmir', 'happy']","[{'text': 'bjp4india', 'score': 0.5506}, {'text': 'kashmir', 'score': 0.533}, {'text': 'happy', 'score': 0.3813}]",For ,thanks modi for ram mandir. 
50031,"People of Indian heritage raise saffron flags, celebrate Ayodhya's Bhoomi Pujan in Washington #ThankYouModiForRamMandir https://t.co/Tr1bPADHHY",Pro Ruling,pro ruling,ram mandir,"['flags', 'indian', 'raise']","[{'text': 'flags', 'score': 0.5565}, {'text': 'indian', 'score': 0.4255}, {'text': 'raise', 'score': 0.1799}]",For ,thanks modi for ram mandir. 
442339,"Modi's Ram Mandir drama divides Hindus. On a day when Ram Mandir construction begins, Tamilians on Twitter praise Ravana! #TamilsarenotHindus  https://t.co/5zw35o1QlE",Pro OPP,pro opposition,ram mandir,"['hindus', 'not', 'divides']","[{'text': 'hindus', 'score': 0.7317}, {'text': 'not', 'score': 0.1986}, {'text': 'divides', 'score': 0.1748}]",Against,claims that ram mandir divides hindus. 
690159,"By July 1, in the second phase of Unlock India, the infected number crossed 600,000 with 18,000 deaths. 

Ground-breaking ceremonies for the BJP’s Ram Mandir project in Ayodhya took place the following month. 

https://t.co/YVgnNhq7FT",Pro OPP,pro opposition,ram mandir,"['india', 'deaths', 'unlock']","[{'text': 'india', 'score': 0.4607}, {'text': 'deaths', 'score': 0.436}, {'text': 'unlock', 'score': 0.1801}]",Against ,shows how public health during a pandemic is being neglected for ram mandir. 
1806469,"I have been saying same, Shivsena was never a Hindu party, they turned Hindu only in 1989 to capitalise on BJP/VHP's Ram Mandir movement, Shivsainiks never went to Ayodhya, only successfully fooled Hindus via fiery speeches.
Eventually for Hindus,
Joh dikhta hain woh bikta hain🤷🏻‍♂️ https://t.co/t1I2AVj2BH",Pro Ruling,pro ruling,ram mandir,"['hindus', 'never', 'capitalise']","[{'text': 'hindus', 'score': 0.5815}, {'text': 'never', 'score': 0.1306}, {'text': 'capitalise', 'score': 0.0567}]",For ,"shows how parties that are never even a hindu party, hop onto the bandwagon to fool hindus. "
672291,"Bhakts have started trending this 👇
#RamMandirRashtraMandir

To divert attention from :
- Farmers protest
- Badaun Rape &amp; murder
- M.P. mosque demolition
- Death of tribals because untested Corona vaccine; lab rats..
- China 🇨🇳 further encroachment 
- Declined Modi fake image",Pro OPP,pro opposition,ram mandir,"['bhakts', 'protest', 'china']","[{'text': 'bhakts', 'score': 0.4864}, {'text': 'protest', 'score': 0.4}, {'text': 'china', 'score': 0.3446}]",Against ,show how ram mandir is diverting attention from the actual problems of india. 
176939,"The #RamMandir trust said that the situation at the India-China border is serious and defending the country is most important https://t.co/IDSMtlJyHt 

#IndiaChinaFaceOff",Pro OPP,pro opposition,ram mandir,"['china', 'india', 'defending']","[{'text': 'china', 'score': 0.5776}, {'text': 'india', 'score': 0.4128}, {'text': 'defending', 'score': 0.2092}]",Neutral ,no stance taken on ram mandir. 
117434,"Ram Mandir is been made around the time when Indian education and health need massive investment.
It's all about the choices we make.. https://t.co/0uHqVLMin2",Pro OPP,pro opposition,ram mandir,"['indian', 'investment', 'health']","[{'text': 'indian', 'score': 0.5151}, {'text': 'investment', 'score': 0.274}, {'text': 'health', 'score': 0.2296}]",Against ,shows how government would rather invest in ram mandir than in education and health. 
332072,Ram Janmabhoomi trust head Nritya Gopal Das tests positive for #coronavirus. He was on stage with Modi for Ram Mandir groundbreaking ceremony.,Pro OPP,pro opposition,ram mandir,"['coronavirus', 'tests', 'janmabhoomi']","[{'text': 'coronavirus', 'score': 0.5346}, {'text': 'tests', 'score': 0.3944}, {'text': 'janmabhoomi', 'score': 0.2556}]",Against ,shows how covid19 was ignored for ram mandir inaugration. 
81839,"So we are supposed to believe get that Hindutva - which won over 300 seats, got Ram Mandir, removed Article 370, got CAA, made Pragya MP, Modi PM, Yogi CM, Shah HM - is somehow waiting for Owaisi to win few more MLAs to fulfill its vision? Reality check anyone?",Pro OPP,pro opposition,ram mandir,"['hindutva', 'won', 'waiting']","[{'text': 'hindutva', 'score': 0.5006}, {'text': 'won', 'score': 0.2891}, {'text': 'waiting', 'score': 0.2772}]",Against ,"shows the dirty politics bjp is playing, including ram mandir. "
77441,#BhumiPujan for Ayodhya #RamMandir no doubt fulfilled aspirations of millions of Hindus. But #PMModi's comparison of the Ram temple project with the task of #nationbuilding in a #FreeIndia was irksome https://t.co/jW67V5Rzh2,Pro OPP,pro opposition,ram mandir,"['hindus', 'aspirations', 'free']","[{'text': 'hindus', 'score': 0.6347}, {'text': 'aspirations', 'score': 0.2845}, {'text': 'free', 'score': 0.0844}]",Against ,shows how modi equates ram mandir with nation building. 
